Matchingname,pollination,sexual_system,ploidy,notes,AnnBot_23_Poll Mode_U_Unresolved,Flower Morphotype,Pollination_index_1-1.29W_1.3-2.56U_2.57-3 I,Reassesed_poll mode_U_unresolved,Source,Original,Fullname
Thalictrum_petaloideum,0,0,0,,X,showy stamen,2.57,,,T.petaloideum_T50PET,Thalictrum__petaloideum_T50PET
Thalictrum_pinnatum,1,1,?,,,small unisexual (dioecious),1.33,,"Kaplan&Mulcahy 1971, https://s3.us-west-2.amazonaws.com/db.herbarium.arizona.edu/images/ARIZ/ARIZ/00435/ARIZ435778_lg.jpg",T.pinnatum_T51PINf,Thalictrum__pinnatum_T51PINf
Thalictrum_podocarpum,1,2,?,,,,,,,T.podocarpum_Thpod1,
Thalictrum_polycarpum,1,1,1,,,,,,,T.polycarpum_T53POLm,Thalictrum__polycarpum_T53POLm
Thalictrum_pringlei,1,2,?,,,,,,,T.pringlei_T54PRI,Thalictrum__pringlei_T54PRI
Thalictrum_przewalskii,0,0,0,,X ,looks like showy stamens,2.4,,http://www.efloras.org/object_page.aspx?object_id=40629&flora_id=2,T.przewalskii_T55PRZ,Thalictrum__przewalskii_T55PRZ
Thalictrum_pubescens,(0 1),1,1,,"X (field data, staminate W)",Intermediate + staminate,2,,,T.pubescens_T56PUBf,Thalictrum__pubescens_T56PUBf
Thalictrum_pubigerum,1,2,?,,,,,,,T.pubigerum_T57PUI,Thalictrum__pubigerum_T57PUI
Thalictrum_punctatum,0,0,0,,X,showy stamen,2.14,,,T.punctatum_T58PUN,Thalictrum__punctatum_T58PUN
Thalictrum_reniforme,0,0,1,,,,2.14,,,T.reniforme_T60REN,Thalictrum__reniforme_T60REN
Thalictrum_reticulatum,0,0,?,,,,2.28,,,T.reticulatum_Thret1,
Thalictrum_revolutum,1,1,1,,X,staminate + carpellate,1.29,,,T.revolutum_T61REVf,Thalictrum__revolutum_T61REVf
Thalictrum_rhynchocarpum,1,0,1,,,,1.57,,,T.rhynchocarpum_T62RHY,Thalictrum__rhynchocarpum_T62RHY
Thalictrum_rochebrunianum,0,0,1,,X,petaloid sepal,2.71,,,T.rochebrunianum_T63ROC,Thalictrum__rochebrunianum_T63ROC
Thalictrum_rostellatum,0,0,?,,,,,,,T.rostellatum_T65ROE,Thalictrum__rostellatum_T65ROE
Thalictrum_rotundifolium,0,0,0,,,,,,,T.rotundifolium_T66ROT,Thalictrum__rotundifolium_T66ROT
Thalictrum_rubescens,0,0,?,,,,2.43,,,T.rubescens_T67RUB,Thalictrum__rubescens_T67RUB
Thalictrum_rutifolium,0,0,?,2.5,,,2.5,,,T.rutifolium_T68RUT,Thalictrum__rutifolium_T68RUT
Thalictrum_sachalinese,0,0,0,,,,2.43,,,T.sachalinese_T69SAC,Thalictrum__sachalinese_T69SAC
Thalictrum_saniculaeforme,0,0,0,,,,2.57,,,T.saniculaeforme_T70SAN,Thalictrum__saniculaeforme_T70SAN
Thalictrum_simplex-brevipes,1,0,1,,U,intermediate,1.71,U,,T.simplex.brevipes_T72SIM,Thalictrum__simplex_T72SIM
Thalictrum_smithii,0,3,?,Published as insect in Wang 2019,,unisex gynomonoecious (filiform filament),2.17,U,http://www.efloras.org/florataxon.aspx?flora_id=2&taxon_id=200008244,T.smithii_T73SMI,Thalictrum__smithii_T73SMI
